"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-05-31,"Laconia, NH","NH",417,1461,0.0138792505204719,0.0117728531855956,0.0325088339222615,35387
2019-05-31,"Batavia, NY","NY",418,1400,0.0196649672250546,0.0316875460574797,0.0408921933085502,16695
2019-05-31,"Oxford, NC","NC",419,1208,0,0.00582847626977519,0.0467937608318891,16387
2019-05-31,"Columbus, MS","MS",420,1037,-0.0317460317460317,-0.0415896487985213,-0.0235404896421846,15407
2019-05-31,"Sterling, IL","IL",421,1071,-0.00557103064066852,-0.020128087831656,0.0307988450433109,21962
2019-05-31,"Dublin, GA","GA",422,982,0.00717948717948718,0.0186721991701245,0.0424628450106157,14919
2019-05-31,"Vicksburg, MS","MS",423,1112,-0.0176678445229682,-0.0245614035087719,0.0411985018726592,13639
2019-05-31,"Sanford, NC","NC",424,1022,0.00888450148075025,0.023023023023023,0.0712788259958071,21810
2019-05-31,"Tiffin, OH","OH",425,965,0.0104712041884817,0.0211640211640212,0.05119825708061,18164
2019-05-31,"Fairmont, WV","WV",426,861,-0.0204778156996587,-0.0271186440677966,-0.0249150622876557,20416
2019-05-31,"Crossville, TN","TN",427,1080,-0.0348525469168901,-0.0551181102362205,-0.0517998244073749,23444
2019-05-31,"Picayune, MS","MS",428,1121,-0.0166666666666667,-0.0209606986899563,-0.0175284837861525,10237
2019-05-31,"Gloversville, NY","NY",429,1279,-0.0397897897897898,-0.0657414170927684,-0.0711692084241104,18279
2019-05-31,"Sonora, CA","CA",430,1467,0.000682128240109141,0.00824742268041237,0.019457956914524,21388
2019-05-31,"Carson City, NV","NV",431,1596,0.0178571428571429,0.0296774193548387,0.140814867762688,14942
2019-05-31,"Calhoun, GA","GA",432,1148,0.00525394045534151,0.00790166812993854,0.0426884650317893,16853
2019-05-31,"Milledgeville, GA","GA",433,1026,-0.0348071495766698,-0.0508788159111933,0.00489715964740451,11755
2019-05-31,"Waycross, GA","GA",434,974,0.00932642487046632,0.0167014613778706,0.058695652173913,13090
2019-05-31,"Eagle Pass, TX","TX",435,1107,-0.0168738898756661,-0.0280948200175593,0.00453720508166969,11838
2019-05-31,"Payson, AZ","AZ",436,1286,-0.0250189537528431,-0.0242792109256449,0.0279776179056755,20279
2019-05-31,"Rochelle, IL","IL",437,1206,-0.0187144019528072,-0.0503937007874016,-0.049645390070922,18186
2019-05-31,"Scottsboro, AL","AL",438,888,-0.00448430493273543,0.00338983050847458,0.0206896551724138,9347
2019-05-31,"Danville, KY","KY",439,922,-0.00753498385360603,-0.00216450216450216,0.0513112884834664,14596
2019-05-31,"Greenville, OH","OH",440,1030,0.0177865612648221,0.03,0.079664570230608,15633
2019-05-31,"Warrensburg, MO","MO",441,1010,0.0233029381965552,0.0412371134020618,-0.0408357075023742,13335
2019-05-31,"Fort Leonard Wood, MO","MO",442,876,-0.0168350168350168,-0.019036954087346,-0.0135135135135135,10274
2019-05-31,"Glasgow, KY","KY",443,918,-0.0118406889128095,-0.0223642172523962,0.0303030303030303,13629
2019-05-31,"Athens, TN","TN",444,1011,-0.0231884057971014,-0.0260115606936416,0.118362831858407,18368
2019-05-31,"Edwards, CO","CO",445,3670,-0.026525198938992,-0.0314067036157297,-0.00380021715526602,29010
2019-05-31,"Fernley, NV","NV",446,1500,0.0121457489878542,0.0217983651226158,0.0570824524312896,15063
2019-05-31,"Platteville, WI","WI",447,1042,-0.0288909599254427,-0.0527272727272727,-0.00572519083969466,12370
2019-05-31,"Boone, NC","NC",448,1375,0,0.00511695906432749,0.0544478527607362,26096
2019-05-31,"Bartlesville, OK","OK",449,928,-0.0021505376344086,0.00215982721382289,0.0345596432552954,22160
2019-05-31,"Jacksonville, TX","TX",450,1150,-0.00862068965517241,-0.0162532078699743,0.013215859030837,8628
2019-05-31,"Elko, NV","NV",451,1442,0.0076869322152341,0.0133520730850316,0.0713224368499257,9196
2019-05-31,"Rexburg, ID","ID",452,1180,-0.015025041736227,-0.021558872305141,0.0737033666969973,15333
2019-05-31,"St. Marys, GA","GA",453,1159,0.00870322019147084,0.0139982502187227,0.0311387900355872,16250
2019-05-31,"Ozark, AL","AL",454,856,-0.00233100233100233,0.00234192037470726,0.00943396226415094,14632
2019-05-31,"Enterprise, AL","AL",455,898,-0.00443458980044346,-0.00111234705228031,0.0216154721274175,21777
2019-05-31,"Kerrville, TX","TX",456,1407,-0.0235947258848022,-0.0309917355371901,-0.0435078178110129,12506
2019-05-31,"New Castle, IN","IN",457,793,-0.0197775030902349,-0.0197775030902349,-0.013681592039801,18347
2019-05-31,"Sidney, OH","OH",458,1103,0.0175276752767528,0.026046511627907,0.0514775977121068,13388
2019-05-31,"Cortland, NY","NY",459,1289,-0.0394932935916542,-0.058436815193572,-0.0423476968796434,12233
2019-05-31,"Del Rio, TX","TX",460,1176,-0.0117647058823529,-0.0183639398998331,0.0173010380622837,10273
2019-05-31,"Washington, NC","NC",461,1124,0.00357142857142857,0.0126126126126126,0.130784708249497,5865
2019-05-31,"Corsicana, TX","TX",462,1149,-0.030379746835443,-0.0409015025041736,-0.0120378331900258,12045
2019-05-31,"Burlington, IA","IA",463,893,-0.00777777777777778,-0.0110741971207087,-0.0366774541531823,16560
2019-05-31,"Cadillac, MI","MI",464,950,-0.0010515247108307,0.00105374077976818,0.0462555066079295,20762
2019-05-31,"Ardmore, OK","OK",465,848,0.0119331742243437,0.026634382566586,-0.0308571428571429,20486
2019-05-31,"Kendallville, IN","IN",466,1031,0,-0.00578592092574735,0.00389483933787731,14722
2019-05-31,"Nogales, AZ","AZ",467,1183,-0.00588235294117647,-0.00921273031825796,0.0422907488986784,13554
2019-05-31,"Oxford, MS","MS",468,1359,0,0.00517751479289941,-0.05625,13590
2019-05-31,"Plymouth, IN","IN",469,1094,0.00643974241030359,0.00829493087557604,-0.00995475113122172,15267
2019-05-31,"Gardnerville Ranchos, NV","NV",470,1878,-0.00949367088607595,-0.00949367088607595,0.0479910714285714,20558
2019-05-31,"Tahlequah, OK","OK",471,867,0.0140350877192982,0.024822695035461,-0.00459242250287026,15484
2019-05-31,"Cañon City, CO","CO",472,1209,-0.0265700483091787,-0.0381861575178998,0.0100250626566416,15749
2019-05-31,"Ruston, LA","LA",473,1212,-0.00492610837438424,0.00165289256198347,-0.000824402308326463,8591
2019-05-31,"Lewistown, PA","PA",474,1024,0.0029382957884427,0.0078740157480315,0.0600414078674948,10501
2019-05-31,"Rockingham, NC","NC",475,945,0.0361842105263158,0.0594170403587444,0.111764705882353,3335
2019-05-31,"Blytheville, AR","AR",476,796,-0.0136307311028501,-0.0172839506172839,-0.025703794369645,8591
