"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05"
"Aiken County","SC","Augusta-Richmond County","45","003",168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.646828242982089,0.644699140401146,0.66496714806141,0.689227386934673,0.689053867403315,0.703350934060663,0.742390497401633,0.68504646478923,0.670840787119857,0.686813186813187,0.686813186813187,0.695825049701789,0.705055381993752,0.729166666666667,0.677162728658537,0.669668179239932,0.662144702842377,0.642464040025016,0.641025641025641,0.639449244729364,0.639763779527559,0.649026460309536,0.645780051150895,0.663931106346837,0.610599078341014,0.664853103708413,0.660832830416415,0.648298217179903,0.66529304029304,0.659722222222222,0.649350649350649,0.678221552373775,0.678221552373775,0.678595455852626,0.685654008438819,0.68721475932145,0.686591276252019,0.662999719303293,0.669287143442768,0.686813186813187,0.668604651162791,0.639337784240284,0.669310700790776,0.687156593406593,0.685235072370995,0.678784689230366,0.71103526734926,0.694243621875201,0.681590690495895,0.652781565312244,0.678221552373775,0.678221552373775,0.668548576805458,0.687830687830688,0.678221552373775,0.668026780569682,0.705100626224963,0.752314814814815,0.703034474300745,0.678221552373775,0.700164744645799,0.70242656449553,0.706219622582105,0.725561627200972,0.726505352882736,0.7274490785645,0.702775782247765,0.696682378346951,0.68870523415978,0.695035460992908,0.725806451612903,0.730688935281837,0.766456266907124,0.725986684939774,0.725160256410256,0.734870586475165,0.705208009129578,0.742115027829313,0.744274470876024,0.769580414421297,0.770898854611406,0.773594636410521
"Kenton County","KY","Cincinnati","21","117",169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.911458333333333,0.853131677350427,0.851391725285531,0.803212851405622,0.876835236541599,0.85348506401138,0.834720426632191,0.835232557630964,0.871794871794872,0.948168392788646,0.82572069768489,0.830314009661836,0.833862631472107,0.856926188068756,0.826446280991736,0.762686805930319,0.822782494145199,0.78125,0.78125,0.71360153256705,0.837520938023451,0.873742987365749,0.777737403100775,0.840400047285269,0.9,0.93626968503937,0.96875,0.9375,0.9375,0.975378787878788
"Hays County","TX","Austin-Round Rock","48","209",170,,,,,,0.762865270235325,0.75162494280997,0.710362286228623,0.711633663366337,0.696969696969697,0.681896383368517,0.67008195496809,0.675806749223434,0.679869937924919,0.714285714285714,0.700631172763387,0.70893108953815,0.709716375643124,0.736987563334869,0.72526889865172,0.718641600594648,0.715174129353234,0.698587127158556,0.697928078396245,0.699745547073791,0.713775874375446,0.772753291356611,0.744416873449132,0.732142857142857,0.748186861518555,0.73457465177852,0.747296838092326,0.744490768314473,0.751684810782789,0.785294691171452,0.775602002164502,0.778539761706844,0.789058390320884,0.806633615746051,0.791817012254734,0.797679477882524,0.768729586854776,0.744936646042949,0.747052048170787,0.764331210191083,0.789614561027837,0.789531069471613,0.789141414141414,0.772753291356611,0.791390728476821,0.792739966688722,0.805931656995487,0.800771436394107,0.784518828451883,0.791598380410682,0.783208020050125,0.793450881612091,0.819326741996234,0.836831770928952,0.866118614210217,0.819198772870488,0.845134764732755,0.875,0.875039757091755,0.906965691491522,0.903126782827172,0.887978142076503,0.868725868725869,0.892857142857143,0.880000901063255,0.880105177714069,0.887739071038251,0.883455882352941,0.887978142076503,0.903509800145683,0.938990968397704,0.917686318131257,0.953972457889445,0.911330521472393,0.904188181296615,0.895580758701603,0.885369425328031,0.931431202287417,0.903509800145683,0.956398277667534,0.95565749235474,0.959616531476927,0.954874835309618,0.980971128608924,0.956072351421189,0.948952879581152,0.927687916270219,0.9316984041116,0.923957424558868,0.922330097087379,0.922619047619048,0.971451229183188,1.00441554897068,1.01454545454545,1.0151838986105,1.0041410053335,0.99086102842624,0.997512037778678,1,0.980971128608924,1.02217900269814,0.99964053655983,0.996292097159848,1.01241877564979,1.03011093502377,1.02641567898365,1.01273148148148
"Cumberland County","NJ","Vineland-Bridgeton","34","011",171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93167701863354,0.997340425531915,0.906735751295337,0.865766178266178,0.952380952380952,0.934579439252336,0.927412419012671,0.98122866894198,0.950292397660819,0.906461734481239,0.943396226415094,0.938565583087065,0.984528832630098,0.93232044198895,1.01851851851852,1.01356745688845,0.993716931216931,0.977346066631781,0.948033707865168,0.903880121073773
"Sullivan County","TN","Kingsport-Bristol-Bristol","47","163",172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.716845878136201,0.719373219373219,0.758785942492013,0.757575757575758,0.760373992335139,0.78125,0.760649087221095,0.739176346356917,0.722789115646258,0.758928571428571,0.726217906517446,0.713842333954066,0.705030487804878,0.760356581017305,0.831573389651531,0.788067273281048,0.75885328836425,0.735294117647059,0.759803921568627,0.746055335038103,0.744715779012192,0.750109748783489,0.765954630081158,0.777542693063322,0.787037037037037,0.789351851851852,0.789351851851852,0.78125,0.791666666666667
"Cass County","ND","Fargo","38","017",173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15789473684211,0.998422562087068,1.11286886414395,1.15740740740741,1.13934426229508,1.11,1.14861949956859,1.13333333333333,1.13333333333333,1.15589054762818,1.14644970414201,1.19402985074627,1.13333333333333,1.15473441108545,1.17424242424242,1.20192307692308,1.15346254614743,1.11544461778471,1.12540192926045,1.14951768488746,1.12530001375859,1.12540192926045,1.11544461778471,1.11544461778471,1.12180957544416,1.11111111111111,1.12540192926045,1.13252510481733,1.13394812448516
"Franklin County","PA","Chambersburg-Waynesboro","42","055",174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.752732184843552,0.809948979591837,0.82135523613963,0.786709837124202,0.794198895027624,0.794826720241085,0.799333698430084,0.791128437382442,0.708955223880597,0.704887218045113,0.702576112412178,0.690954773869347,0.760407816482583,0.770274830227107,0.769535207700101,0.724860703650296,0.76953125,0.710702341137124,0.725633741258741,0.731100431888983,0.77734375,0.717975775286015,0.704881939727023,0.719833051563821,0.694444444444444,0.691946442845723,0.69897523276925,0.74091590519703,0.754737234748011
"Ellis County","TX","Dallas-Fort Worth-Arlington","48","139",175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.803542146395925,0.834812080171875,0.869863183616765,0.821930742802804,0.869565217391304,0.892857142857143,0.850340136054422,0.872550767265327,0.889887653626044,0.849056603773585,0.889845999339957,0.824639685813872,0.892857142857143,0.888177052999418,0.93185789167152,0.941666666666667,0.941666666666667,0.930392156862745,0.90711175616836,0.926914485365714,0.90711175616836,0.919117647058823,0.9,0.844803391036054,0.849056603773585
"Sussex County","NJ","New York-Newark-Jersey City","34","037",176,,,,,,,,,,,,1.08949192077409,1.15778538991461,1.14285714285714,1.14719659922778,1.12549244252902,1.12528132033008,1.11332801276935,1.19598765432099,1.26201923076923,1.29358830146232,1.2047996829435,1.20252554463081,1.22399020807834,1.16666666666667,1.15363675958188,1.1240959176739,1.14256480218281,1.14256480218281,1.10424028268551,1.08514190317195,1.15445859872611,1.15008625646924,1.07327153029325,1.08459869848156,1.0882058722209,1.18309941954294,1.19760479041916,1.19384137973479,1.19623017903207,1.21697845804989,1.19444444444444,1.22780392756858,1.22222222222222,1.17981351196225,1.16401732355859,1.15867501971758,1.1747424245367,1.17519983085989,1.18694362017804,1.20979938723338,1.28128724672229,1.24629080118694,1.23873281425365,1.25473646305248,1.26015945654489,1.25495376486129,1.22824229277592,1.24311849063459,1.25467338012914,1.20741701502864,1.20809250935539,1.27314814814815,1.30246020260492,1.30907084836222,1.29151291512915,1.25071880391029,1.2655626027719,1.24703087885986,1.27527511248441,1.26917010637941,1.29640542133176,1.24861419821857,1.22376759081165,1.22309197651663,1.26693204557302,1.20859444941808,1.25208681135225,1.26168224299065,1.21951219512195,1.17852466171977,1.2304846873725,1.27077223851417,1.26849894291755,1.28006206361521,1.2921751615219,1.33284867924417,1.32352941176471,1.37614678899083,1.32706809965484,1.39405204460967,1.42091988506184,1.42068156984046,1.36642738951856,1.37693702604682,1.31172839506173,1.30208333333333,1.38480872176524,1.41131503468789,1.37519182696315,1.36742167175659,1.31469115191987,1.29159186929953,1.31473576397481,1.37578616352201,1.37539308176101,1.39116575591985,1.39116575591985,1.37481910274964,1.31678373776075,1.32409506536689,1.3301926263425
"Rock Island County","IL","Davenport-Moline-Rock Island","17","161",177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.712342497136311,0.826972800954701,0.881315104166667,0.85978835978836,0.85978835978836,0.907889683887137,0.910825311056516,0.904947916666667,0.92948717948718,0.919155815098224,0.848873677760578,0.855777846705266,0.863970588235294,0.902110042735043,0.935515087075567,0.921046207327552,0.934307568963766,0.929315476190476,0.926179478719894,0.921314741035857,0.934520414729022,0.90956340956341,0.896763149356098,0.892857142857143,0.878411306042885,0.865384615384615,0.884361721540106,0.864779874213837,0.904977375565611
"Lee County","AL","Auburn-Opelika","01","081",178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.582606012518734,0.620736698499318,0.652265948919514,0.645158261914498,0.620736698499318,0.624366537591933,0.617902471609886,0.647836227001814,0.633824420957292,0.658567687733559,0.639658848614073,0.647598488936859,0.643523856762798,0.690448791714614,0.672782874617737,0.703013293778581,0.708762886597938,0.725593667546174,0.706842176963422,0.720899093488114,0.719804583606784,0.701127438597835,0.701127438597835,0.702936576419696,0.681198910081744,0.702989838888875,0.744750604175746,0.776974952476647,0.783762564336186,0.780640600624025
"Houston County","GA","Warner Robins","13","153",179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63808800975182,0.637996219281664,0.645661157024793,0.651890482398957,0.652100470035253,0.658143939393939,0.653933563482283,0.659441984113116,0.649468832994845,0.637127496650863,0.645281992610237,0.645281992610237,0.636014741216666,0.632603406326034,0.640934166479198,0.645946970890208,0.646328852119959,0.655840099937539,0.663288288288288,0.66201415856029,0.667539267015707,0.66201415856029,0.660740028832292,0.63924118521394,0.636942675159236,0.658290064384916,0.639189129432277,0.637996219281664,0.63845944669764,0.642529106893582,0.641539695268645,0.620567375886525,0.617586652513038,0.630814543081631,0.669642857142857,0.666839674870401,0.660740028832292,0.655840099937539,0.646510423674564,0.660740028832292,0.676235795315752,0.673076923076923,0.660740028832292,0.661495842230716,0.658290064384916,0.667155237685964,0.674450991644156,0.670212365743092,0.668744007670182,0.679079510519019,0.676379504504504,0.671991072286729,0.660569105691057,0.670939332379149,0.671487603305785,0.66852886405959,0.670391061452514,0.680167513304306,0.680891406448337,0.707282717189526,0.686546480844348,0.666666666666667,0.678070294939037,0.665551306564691,0.677460479347272,0.681089743589744,0.686683108558109,0.684210526315789,0.679343895864835,0.682926829268293,0.686813186813187,0.693824677653349,0.705253413090805,0.731472422648893
"Jackson County","MS","Gulfport-Biloxi-Pascagoula","28","059",180,,,,,,,,,,,,,,,,,,,,0.826603389103389,0.748299319727891,0.711512260900961,0.676532769556025,0.733544805709754,0.736257805874643,0.679459717549762,0.713312528973463,0.731343517759789,0.71301247771836,0.703941335067679,0.743745774171738,0.732679337829552,0.709939148073022,0.71921749136939,0.712143928035982,0.707936217008798,0.704674432497013,0.719424460431655,0.701480904130943,0.684931506849315,0.728073817228059,0.727739726027397,0.742030921931666,0.735654732712114,0.730769230769231,0.703813616879981,0.714557926829268,0.69060773480663,0.722490931076179,0.719895596293103,0.729940911004193,0.73564345831008,0.723589001447178,0.730411686586985,0.713373522809797,0.71488645920942,0.692520775623269,0.692392909896603,0.692259282567653,0.69575820715292,0.710187716766664,0.706521739130435,0.710890060722275,0.728316080498939,0.732600732600733,0.732600732600733,0.754464486325685,0.708133526634698,0.71232443779502,0.699481865284974,0.707693047195066,0.710311442738655,0.725513905683192,0.749420432473473,0.738178880968255,0.766969831410825,0.720244716351502,0.723589001447178,0.751503006012024,0.752351097178683,0.716510903426791,0.753650284900285,0.74184629473091,0.739130434782609,0.738857965824608,0.782269908616188,0.761434988208908,0.765618747499,0.712243925678895,0.737232289950577,0.707415321400702,0.716338259441708,0.710804224207961,0.75046904315197,0.739644970414201,0.747279437507294,0.74385510996119,0.780655441400304,0.778997757066501,0.779220779220779,0.795205342902711,0.771583501185716,0.769971126082772,0.775255358111325,0.79493434998466,0.766871165644172,0.767142784711106,0.78043788981289,0.788887600046398,0.759361009361009,0.79282904148784,0.808510638297872
"Rowan County","NC","Charlotte-Concord-Gastonia","37","159",181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.627615062761506,0.630252100840336,0.625,0.685434458537571,0.636124595469256,0.656199677938808,0.703644608904015,0.693642567335036,0.673854447439353,0.69794952681388,0.705128205128205,0.651832460732984,0.682478047398735,0.705645161290323,0.710630544993663,0.6875,0.717573395661783,0.693240901213172,0.732922896511287,0.73069985885167,0.738326636139925,0.734608780966397,0.784383954154728,0.800438596491228,0.769853575020353,0.720229076479076,0.755060682350286,0.767818491032777,0.755494505494505,0.726978998384491,0.730786279323513,0.747126436781609,0.747744861550832
